,date,open,high,low,close,volume,tic,day
12,2000-01-03,107.49282836914062,110.8986587524414,106.95507049560547,62.42852783203125,10823694,IBM,0
40,2000-01-04,108.98661804199219,109.46463012695312,105.9990463256836,60.30943298339844,8606279,IBM,1
68,2000-01-05,107.97084045410156,114.48374938964844,107.19407653808594,62.42852783203125,13318927,IBM,2
96,2000-01-06,112.81070709228516,113.70697784423828,108.50860595703125,61.35215377807617,8338607,IBM,3
124,2000-01-07,112.09368896484375,112.7509536743164,105.76004028320312,61.08306121826172,12402108,IBM,4
152,2000-01-10,112.09368896484375,114.12523651123047,110.3011474609375,63.504817962646484,8933363,IBM,0
180,2000-01-11,112.69120788574219,115.79827880859375,111.49617767333984,64.04302978515625,8235472,IBM,1
208,2000-01-12,114.36424255371094,116.63479614257812,113.04971313476562,64.31210327148438,7116775,IBM,2
236,2000-01-13,114.66300201416016,115.67877960205078,110.65965270996094,63.639373779296875,8880226,IBM,3
264,2000-01-14,115.61902618408203,117.88957977294922,112.33269500732422,64.3793716430664,11460604,IBM,4
292,2000-01-18,114.42399597167969,114.48374938964844,109.94264221191406,62.293949127197266,7995519,IBM,1
320,2000-01-19,110.48040008544922,116.63479614257812,107.7318344116211,64.31210327148438,9031687,IBM,2
348,2000-01-20,117.5908203125,119.26386260986328,113.76673126220703,64.04302978515625,18601436,IBM,3
376,2000-01-21,116.51529693603516,117.5908203125,114.66300201416016,65.38844299316406,8230660,IBM,4
404,2000-01-24,116.51529693603516,117.47132110595703,111.4364242553711,65.38844299316406,6798163,IBM,0
432,2000-01-25,111.61567687988281,114.24474334716797,110.8986587524414,64.11030578613281,7255997,IBM,1
460,2000-01-26,113.82648468017578,114.66300201416016,110.8986587524414,62.83213424682617,5120275,IBM,2
488,2000-01-27,112.81070709228516,113.22896575927734,106.716064453125,61.08306121826172,8707532,IBM,3
516,2000-01-28,107.79158782958984,109.1658706665039,105.22227478027344,60.040313720703125,6976192,IBM,4
544,2000-01-31,106.47705841064453,107.8513412475586,104.80401611328125,60.41032791137695,6488024,IBM,0
572,2000-02-01,107.43307495117188,108.4488525390625,104.32600402832031,59.19944381713867,7640716,IBM,1
600,2000-02-02,107.07456970214844,110.71940612792969,105.52103424072266,61.08306121826172,8062254,IBM,2
628,2000-02-03,109.94264221191406,112.33269500732422,109.0463638305664,63.033966064453125,6499635,IBM,3
656,2000-02-04,112.98995971679688,113.22896575927734,109.76338195800781,62.226707458496094,5653944,IBM,4
684,2000-02-07,110.8986587524414,111.73518371582031,108.15009307861328,61.41941452026367,6045357,IBM,0
712,2000-02-08,111.79492950439453,113.76673126220703,111.07791900634766,64.00940704345703,5715658,IBM,1
740,2000-02-09,113.76673126220703,114.48374938964844,111.85468292236328,63.234989166259766,5621936,IBM,2
768,2000-02-10,112.51194763183594,113.88623046875,111.73518371582031,64.17777252197266,4651144,IBM,3
796,2000-02-11,113.82648468017578,114.18498992919922,109.52437591552734,62.157508850097656,6013872,IBM,4
824,2000-02-14,110.8986587524414,111.25717163085938,109.46463012695312,62.52789306640625,4753024,IBM,0
852,2000-02-15,110.77915954589844,112.27294158935547,108.86711120605469,63.10029602050781,5415665,IBM,1
880,2000-02-16,111.37667083740234,112.1534423828125,110.181640625,62.35953903198242,4149377,IBM,2
908,2000-02-17,111.37667083740234,113.64722442626953,110.65965270996094,62.89828872680664,5478425,IBM,3
936,2000-02-18,110.181640625,110.83891296386719,106.5965576171875,60.60860824584961,8026376,IBM,4
964,2000-02-22,107.07456970214844,108.4488525390625,103.96749877929688,59.80049514770508,8006921,IBM,1
992,2000-02-23,105.64053344726562,105.64053344726562,103.7284927368164,58.58832931518555,7777324,IBM,2
1020,2000-02-24,104.0272445678711,106.11854553222656,103.42973327636719,59.53112030029297,9531152,IBM,3
1048,2000-02-25,105.04302215576172,105.04302215576172,100.3226547241211,58.18425750732422,10786561,IBM,4
1076,2000-02-28,100.0239028930664,101.81644439697266,99.36663818359375,56.298667907714844,8869975,IBM,0
1104,2000-02-29,100.92017364501953,100.92017364501953,96.49856567382812,55.35585403442383,10967205,IBM,1
1132,2000-03-01,97.51434326171875,100.86042022705078,95.66204833984375,54.00899124145508,11304959,IBM,2
1160,2000-03-02,96.08030700683594,100.80066680908203,95.12428283691406,55.557857513427734,11707773,IBM,3
1188,2000-03-03,102.53346252441406,105.16252136230469,101.39818572998047,58.18425750732422,10630289,IBM,4
1216,2000-03-06,105.10277557373047,106.11854553222656,96.55831909179688,55.524227142333984,11241780,IBM,0
